index,rank,gold_left,traits_count,total_damage_to_players,Set6_Academy,Set6_Arcanist,Set6_Assassin,Set6_Bodyguard,Set6_Bruiser,Set6_Challenger,Set6_Chemtech,Set6_Colossus,Set6_Clockwork,Set6_Cuddly,Set6_Enchanter,Set6_Enforcer,Set6_Glutton,Set6_Imperial,Set6_Innovator,Set6_Mercenary,Set6_Mutant,Set6_Protector,Set6_Scholar,Set6_Scrap,Set6_Sister,Set6_Sniper,Set6_Socialite,Set6_Syndicate,Set6_Transformer,Set6_Twinshot,Set6_Yordle
95,2,24,11,168,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,7,110,11,65,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
97,8,37,9,61,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5,64,15,84,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0
99,2,0,10,115,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
100,1,2,12,194,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
101,3,2,12,151,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
102,6,11,10,66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,4,0,12,177,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,1,40,9,158,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
105,4,20,10,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
106,6,0,11,80,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0
107,2,0,11,156,2,0,0,0,0,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
108,3,1,13,139,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
109,8,51,9,4,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5,0,9,88,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
111,7,0,12,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,3,0,1,0,0
112,3,0,12,89,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
113,5,0,11,85,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0
114,7,78,11,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0
115,8,0,6,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
